comuna;cut_comuna;region;poblacion;pobreza;originario;extranjero;inactivos;desocupados;pobreza_multi;fonasa;isapre;ytotcorh;ytrabajocorh;ypchautcor;numper;ypc;v12mt;ytotcor;yoprcor;esc;edad;ytrabajocor;y2803;dautr;qautr;hogares;hacinamiento;men18c;rural;may60c;vivienda_propia;vivienda_pequeña;hogar_jefatura_femenina;pobreza_p;originario_p;extranjero_p;inactivos_p;desocupados_p;pobreza_multi_p;fonasa_p;isapre_p;hogar_jefatura_femenina_p;hacinamiento_p;men18c_p;rural_p;may60c_p;vivienda_propia_p;vivienda_pequeña_p
Aisén;11201;Región de Aysén del Gral. Carlos Ibáñez del Campo;25112;1665;10496;482;7460;750;3203;23047;916;1401340,912845494;907685,489251297;452887,204596003;2,65868897596103;620251,499735254;46,8493150684931;421797,211930551;631608,279612704;10,28099761263778;36,3695842625040;719904,960262127;353395,424107143;4,43736062440268;2,48255813953488;9443;2262;4151;2092;3376;6222;189;5403;0,06630296272698312;0,41796750557502388;0,01919401083147499;0,2970691302962727;0,02986619942656897;0,1275485823510672;0,917768397578847;0,03647658489964957;0,5721698612729006;0,2395425182674997;0,4395848776871757;0,221539764905220787;0,357513502065022;0,6589007730594091;0,02001482579688658
Algarrobo;5602;Región de Valparaíso;15731;998;665;500;5542;628;3819;12152;2200;1263159,904753331;806079,136658264;344858,637558514;2,82355059416637;508035,172488297;NA;361113,488462272;606721,796817120;11,66757613745299;42,5652533214672;615637,519634573;400156,479217604;4,82764123842962;2,67781678902011;5554;1956;1733;957;3066;3034;921;2716;0,06344161210348992;0,04227321848579239;0,03178437480134766;0,3522980102981375;0,03992117475049266;0,2427690547326934;0,772487445171953;0,13985124912592969;0,4890169247389269;0,3521786100108030;0,3120273676629456;0,172308246308966517;0,552034569679510;0,5462729564277998;0,16582643140079223
Alhué;13502;Región Metropolitana de Santiago;7693;1028;229;348;2691;166;2510;5476;1924;1280614,395758303;859366,687474990;319405,428971589;3,08083233293317;485853,669467787;64,7692307692308;336119,839594437;611179,815209665;9,91530486733439;37,1666450019498;659996,108307695;162559,845559846;4,03951644352008;2,32263096321331;2499;851;1113;1731;1134;1762;0;912;0,13362797348238659;0,02976732094111530;0,04523592876641102;0,3497985181333680;0,02157805797478227;0,3262706356427921;0,711815936565709;0,25009749122578967;0,3649459783913566;0,3405362144857943;0,4453781512605042;0,692677070828331298;0,453781512605042;0,7050820328131252;0,00000000000000000
Alto Biobío;8314;Región del Biobío;6775;1526;5014;0;2611;303;2845;6594;75;853589,857478834;457759,738946378;200455,079021637;3,19002822201317;334057,467544685;NA;207517,560147601;394035,361414456;8,76116201988692;34,2420664206642;333126,822222221;236161,137440758;3,30671586715867;1,93151291512915;2126;823;1067;2126;914;1630;308;550;0,22523985239852398;0,74007380073800733;0,00000000000000000;0,3853874538745388;0,04472324723247233;0,4199261992619926;0,973284132841328;0,01107011070110701;0,2587017873941674;0,3871119473189087;0,5018814675446849;1,000000000000000000;0,429915333960489;0,7666980244590781;0,14487300094073377
Alto Hospicio;1107;Región de Tarapacá;138543;22092;36773;24408;38377;6956;44633;121949;5254;1104934,352737524;768470,995524012;295319,638854561;3,42489737375736;394112,277338147;49,5333333333333;264440,190135914;502520,984617437;11,16643994081959;30,1186274297511;540689,875476073;221233,243967828;4,02712515247974;2,28679182636438;40438;19219;22692;604;10027;19264;4221;22425;0,15945951798358632;0,26542661845058935;0,17617634958099651;0,2770042513876558;0,05020823859740297;0,3221599070324737;0,880224912121147;0,03792324404697459;0,5545526484989366;0,4752707849052871;0,5611553489292250;0,014936445917206588;0,247959839754686;0,4763835995845492;0,10438201691478312
Alto del Carmen;3302;Región de Atacama;5772;759;3282;51;2845;137;1027;5532;102;705622,262387387;305446,497747748;216700,487987988;2,16854354354354;377033,209459459;NA;257087,928967429;393160,293347302;8,84250703093612;47,6048163548164;391339,947292765;308138,686131387;3,39639639639640;1,99272349272349;2664;387;777;2664;1718;1400;242;1231;0,13149688149688149;0,56860706860706856;0,00883575883575884;0,4928967428967429;0,02373527373527374;0,1779279279279279;0,958419958419958;0,01767151767151767;0,4620870870870871;0,1452702702702703;0,2916666666666667;1,000000000000000000;0,644894894894895;0,5255255255255256;0,09084084084084085
Ancud;10202;Región de Los Lagos;42484;1931;14440;338;17912;1221;9273;37659;1783;1110903,036991895;610209,937412396;312722,256139920;2,58918885977208;478359,826132001;61,6239316239316;340567,301548818;483681,964855643;9,88245652652432;44,8411401939554;504269,287476102;293381,673429952;5,15577629225120;2,81720177007815;16409;3852;5123;5025;8888;12750;474;7605;0,04545240561152434;0,33989266547406083;0,00795593635250918;0,4216175501365220;0,02874023161660861;0,2182704076828924;0,886427831654270;0,04196874117314753;0,4634651715521970;0,2347492229873850;0,3122067158266805;0,306234383569992052;0,541653970382107;0,7770126150283381;0,02888658662928880
Andacollo;4103;Región de Coquimbo;11820;1348;0;109;4489;208;2552;10213;842;955923,754503817;541508,971297710;184329,940763358;3,60854961832061;312333,207633588;NA;203230,698138748;429609,397315434;10,36408335284477;34,0671742808799;473440,285141638;198469,387755102;3,60270727580372;2,01455160744501;3275;1494;1819;290;1354;1980;25;1727;0,11404399323181048;0,00000000000000000;0,00922165820642978;0,3797800338409476;0,01759729272419628;0,2159052453468697;0,864043993231810;0,07123519458544839;0,5273282442748092;0,4561832061068702;0,5554198473282442;0,088549618320610687;0,413435114503817;0,6045801526717557;0,00763358778625954
Angol;9201;Región de La Araucanía;56561;4967;7885;1441;23267;1697;13473;49769;4052;1254160,320659386;791182,805450648;360794,649688681;2,88414820863530;502680,141727059;50,0000000000000;354689,037216457;634549,127564550;11,09719259322468;40,1475398242605;664603,284619992;249878,354203936;5,72013591477011;3,08953031536474;19594;6120;7618;1579;9806;12911;2197;10848;0,08781669348137409;0,13940701189865809;0,02547691872491646;0,4113611852690016;0,03000300560456852;0,2382030020685632;0,879917257474231;0,07163946889199271;0,5536388690415434;0,3123405124017556;0,3887924874961723;0,080585893640910483;0,500459324282944;0,6589262018985403;0,11212616106971522
Antofagasta;2101;Región de Antofagasta;438946;30875;38763;50740;139633;20078;72608;320579;92022;1751762,655052778;1203832,380036704;568485,942988790;2,94002839843541;730389,615482506;64,0547279792746;489394,626017779;810615,936183706;12,23784367189275;36,0400801009691;903630,412186377;366018,900323410;5,11618969075923;2,80274566803206;149304;57175;65180;582;51925;75372;9854;77159;0,07033894829887959;0,08830926811042816;0,11559508458899273;0,3181097447066382;0,04574138960145439;0,1654144245533619;0,730338128152438;0,20964309960678534;0,5167912447087821;0,3829435246209077;0,4365589669399346;0,003898087124256551;0,347780367572202;0,5048223758238225;0,06599957134437122
