comuna;cut_comuna;region;esc;edad;ytotcorh;ytotcor;yoprcor;ypc;ytrabajocor;ytrabajocorh;ypchautcor;y0101;yosa;ytot;numper;p9
Aisén;11201;Región de Aysén del Gral. Carlos Ibáñez del Campo;9,90977443609023;51,9356136820926;1401340,912845494;672720,022768188;636568,248119142;620251,499735254;712533,437041216;907685,489251297;452887,204596003;693665,003402132;431090,0473933649;671932,137562215;2,65868897596103;2,68346923647146
Algarrobo;5602;Región de Valparaíso;11,01854519265394;58,2441483615412;1263159,904753331;601434,323190493;659753,302777027;508035,172488297;670342,096463021;806079,136658264;344858,637558514;569702,524038462;NA;601434,323190493;2,82355059416637;2,88296723082463
Alhué;13502;Región Metropolitana de Santiago;8,72325769854133;55,8535414165666;1280614,395758303;595469,223689476;616666,666666666;485853,669467787;683301,163962919;859366,687474990;319405,428971589;721117,216117216;NA;582792,557022809;3,08083233293317;3,12284913965586
Alto Biobío;8314;Región del Biobío;8,01599247412982;51,6749764816557;853589,857478834;361446,096895579;422130,350194553;334057,467544685;299031,503515415;457759,738946378;200455,079021637;493047,493403694;NA;361446,096895579;3,19002822201317;3,19002822201317
Alto Hospicio;1107;Región de Tarapacá;10,99900909158471;45,9206439487611;1104934,352737524;513946,619417380;521150,008678502;394112,277338147;574885,845350957;768470,995524012;295319,638854561;627833,146906188;334819,2771084337;512450,739279885;3,42489737375736;3,61340818042435
Alto del Carmen;3302;Región de Atacama;7,99249249249249;61,1493993993994;705622,262387387;363365,207582583;376982,173174873;377033,209459459;368891,824101796;305446,497747748;216700,487987988;411900,544959128;NA;363365,207582583;2,16854354354354;2,21696696696697
Ancud;10202;Región de Los Lagos;9,43854504616920;58,2399293070876;1110903,036991895;520313,823694314;540663,911926178;478359,826132001;526401,298155638;610209,937412396;312722,256139920;607154,316546763;189618,3206106870;508628,711134134;2,58918885977208;2,60399780608203
Andacollo;4103;Región de Coquimbo;9,38045801526718;54,2369465648855;955923,754503817;369505,197862595;446698,002350177;312333,207633588;504649,103548576;541508,971297710;184329,940763358;550570,884871551;NA;369505,197862595;3,60854961832061;3,63664122137405
Angol;9201;Región de La Araucanía;10,61151372869246;54,9386036541799;1254160,320659386;631975,759926508;713416,007312133;502680,141727059;726270,507424396;791182,805450648;360794,649688681;760801,680464599;80000,0000000000;607620,524497295;2,88414820863530;2,93778707767684
Antofagasta;2101;Región de Antofagasta;12,29448805080685;49,7149306113701;1751762,655052778;863703,612301077;889650,436797449;730389,615482506;1012657,547049198;1203832,380036704;568485,942988790;977860,299767365;752397,8035387432;851218,180952955;2,94002839843541;3,23946444837379
Antuco;8302;Región del Biobío;8,92926239419589;59,2430471584039;921650,457073761;407609,594316808;607651,757188498;395945,965538089;513767,845824410;458515,663845224;217314,971584040;681807,692307692;NA;407609,594316808;2,61003627569528;2,61003627569528
Arauco;8202;Región del Biobío;9,67102009273570;55,0004636785162;1022843,043740340;424971,907727975;474083,470950309;370137,881916538;482902,849828450;564715,420865533;235945,427125193;560893,124866138;NA;424971,907727975;3,00332302936631;3,03268933539413
Arica;15101;Región de Arica y Parinacota;11,86982845610494;51,6804071306979;1336807,026113580;615534,640285133;652212,629808762;554239,348980991;699199,217795286;844627,489076981;400066,797368560;759375,890381895;329818,8405797101;606373,430679024;2,99916067713259;3,43461556648383
Buin;13402;Región Metropolitana de Santiago;12,36246143098329;48,2284159049892;1639764,372154625;764391,068463643;746551,111889225;560924,352215171;865647,635791970;1134385,620044245;416753,498660994;854675,020341741;812551,2528473804;727960,372445712;3,34275484659719;3,41343075042208
Bulnes;16102;Región de Ñuble;9,63945493186648;55,7797224653082;898710,880985123;405161,794849356;473141,907925959;367562,924740593;505992,809134293;521794,068258532;219666,459807476;490256,821829856;370000,0000000000;395598,099387423;2,83385423177897;2,84123015376922
Cabildo;5402;Región de Valparaíso;9,25808867585380;57,1333531333531;1017798,518562519;355701,407632908;432197,419354839;371910,794772795;387102,855482167;563858,170032670;230737,471042462;484177,732379980;300000,0000000000;344548,927680428;3,08301158301158;3,08301158301158
Cabo de Hornos;12201;Región de Magallanes y de la Antártica Chilena;13,17298937784522;45,5311077389985;2501678,270106222;1097742,895295903;997676,760000000;957382,698027314;1162521,429999999;1873493,297420334;890625,359635812;1146679,283333333;NA;1097742,895295903;3,00000000000000;3,00000000000000
Cabrero;8303;Región del Biobío;8,78448753462604;54,2282776817396;935741,136475298;383781,014739332;507672,702860598;377345,264762078;541824,952720780;550372,285415340;255865,764443635;545868,477483917;50000,0000000000;378619,764898553;2,81794195250660;2,85024110635975
Calama;2201;Región de Antofagasta;11,60196759079093;50,3278451941281;1527558,530958071;747921,667158065;831011,469584991;587684,979144037;904562,676661788;1055830,481968282;450649,043387856;884635,109401709;382975,3521126761;728420,804071879;3,02181806896124;3,50342944042705
Calbuco;10102;Región de Los Lagos;8,19274074074074;57,4136839004272;1052157,384813669;441608,809544852;540531,943311013;446072,916850788;575567,995926117;617746,490204743;288904,074532333;613873,514431239;804818,1818181818;436944,985122993;2,74635439681838;2,76263072617469
Caldera;3102;Región de Atacama;11,15920029618660;52,2702702702703;1202444,022954461;597822,032827348;672944,951793292;579832,283475256;713793,454069659;749115,214858694;398535,414784646;811236,804967542;300000,0000000000;594962,436011354;2,43946686412440;2,62001727755152
Calera;5502;Región de Valparaíso;10,89924504739740;52,9761128006635;1203267,158197401;568363,670168648;633313,935384616;441190,907713575;697734,338063437;769707,979872823;300570,558860933;661460,184833523;NA;567246,005971800;2,97578103400608;3,03306607685928
Calera de Tango;13403;Región Metropolitana de Santiago;9,09741406168865;58,6443036660089;1365775,580641811;525658,621871430;600549,603174603;491012,852009554;641567,337972169;810207,860110084;324897,423720013;594030,349013657;NA;525658,621871430;3,07830511995015;3,35060753972375
Calle Larga;5302;Región de Valparaíso;11,03333333333333;48,5532228360958;1046078,082688766;512321,469613260;473802,711184518;383080,157458564;488656,962350380;623733,577900553;273116,584346223;475642,794759825;NA;483486,683241252;3,17053406998158;3,22946593001842
Camarones;15102;Región de Arica y Parinacota;10,43202979515829;53,3463687150838;661095,787709497;463057,309124767;366614,186046512;407719,972067039;439481,655813953;469148,852886406;328608,219739293;468459,426229508;NA;463057,309124767;2,31471135940410;2,31471135940410
Camiña;1402;Región de Tarapacá;8,74717832957111;51,4853273137698;1057351,410835214;348743,751693002;409986,179401993;384394,408577878;422028,555205047;747506,212189616;263902,668171558;660911,884057971;NA;348743,751693002;3,11512415349887;3,11512415349887
Canela;4202;Región de Coquimbo;8,03233956543709;61,1035876705407;916328,448711470;433761,127084386;566441,552062868;448325,333501769;586100,251784866;489724,678372916;260708,044719554;645437,212360289;NA;430622,844113189;2,40904497220819;2,49368367862557
